Title,Price,Link,Page
"BRUSTRO Mechanical Pencil Set | HB-20 leads, 2B-20 leads,Spare eraser 8 units|Tip size 0.7 mm | Ideal for Students,Adults, Home, School, Office, Stationery Use |Writing, Sketching, Drawing,Mandala Art",₹179,https://amazon.in/BRUSTRO-Mechanical-Writing-Sketching-Drawing/dp/B0CFDTW992/ref=sr_1_5?dib=eyJ2IjoiMSJ9.z_kzZ_3kxWayThIhWZCi_qu2jWpCcimcF_XSaYm3nSSMWzoyuVt1GIuWrBJEOfVJkjFx4eSTAcNHU5_wQC4PEDTkLIVpBNwpbqlyChBmTVmXm7EqcwCsneWbfZAeHR_r3aWO9epO6IyiYlWV2B1RcrHxfUsPwXWLKPtRbOo8c9QHT9rHgiv44CSEl-Oelfz-duDqVgv9n4l5egau-vvjQ5bj2aWBH7B3sdjITQ1sf-sOE3mPdY0BU6sC4IENQ2d8peeD8CpKAKZVc7nNp2A2yZ_mGRi1BkvEKIztJElhsdc.iCxGCD6phKtfVZtzPkSXjxgIW-XXfMKd4vHJcWaub7E&dib_tag=se&keywords=mechanical+pencil&qid=1767900979&sr=8-5,1
"BRUSTRO Mechanical Pencil Set | HB-20 leads, 2B-20 leads, Spare eraser- 8 units|Tip size- 0.5 mm |Ideal for Students,Adults, Home,School,Office,Stationery Use |Writing, Sketching, Drawing, Mandala Art",₹179,https://amazon.in/BRUSTRO-Mechanical-Writing-Sketching-Drawing/dp/B0CCDZPSSB/ref=sr_1_6?dib=eyJ2IjoiMSJ9.z_kzZ_3kxWayThIhWZCi_qu2jWpCcimcF_XSaYm3nSSMWzoyuVt1GIuWrBJEOfVJkjFx4eSTAcNHU5_wQC4PEDTkLIVpBNwpbqlyChBmTVmXm7EqcwCsneWbfZAeHR_r3aWO9epO6IyiYlWV2B1RcrHxfUsPwXWLKPtRbOo8c9QHT9rHgiv44CSEl-Oelfz-duDqVgv9n4l5egau-vvjQ5bj2aWBH7B3sdjITQ1sf-sOE3mPdY0BU6sC4IENQ2d8peeD8CpKAKZVc7nNp2A2yZ_mGRi1BkvEKIztJElhsdc.iCxGCD6phKtfVZtzPkSXjxgIW-XXfMKd4vHJcWaub7E&dib_tag=se&keywords=mechanical+pencil&qid=1767900979&sr=8-6,1
"BRUSTRO Kuro Precision Mechanical Pencil | Tip Size - 0.3mm With 20 - HB and 20-2B leads, 3 Eraser Refills| Ideal For Writing, Sketching, Drawing, Mandala Arts and Fine Art Students",₹273,https://amazon.in/BRUSTRO-Kuro-Precision-Mechanical-Pencil/dp/B0FV2QJQLF/ref=sr_1_7?dib=eyJ2IjoiMSJ9.z_kzZ_3kxWayThIhWZCi_qu2jWpCcimcF_XSaYm3nSSMWzoyuVt1GIuWrBJEOfVJkjFx4eSTAcNHU5_wQC4PEDTkLIVpBNwpbqlyChBmTVmXm7EqcwCsneWbfZAeHR_r3aWO9epO6IyiYlWV2B1RcrHxfUsPwXWLKPtRbOo8c9QHT9rHgiv44CSEl-Oelfz-duDqVgv9n4l5egau-vvjQ5bj2aWBH7B3sdjITQ1sf-sOE3mPdY0BU6sC4IENQ2d8peeD8CpKAKZVc7nNp2A2yZ_mGRi1BkvEKIztJElhsdc.iCxGCD6phKtfVZtzPkSXjxgIW-XXfMKd4vHJcWaub7E&dib_tag=se&keywords=mechanical+pencil&qid=1767900979&sr=8-7,1
Scrikss 2.0mm Cute Mechanical Clutch Lead Pen Pencil Black | Twist Series | Orange Penpencil | Mini Removable Sharpener,₹618,https://amazon.in/sspa/click?ie=UTF8&spc=MTo5MDE0NjMxOTQ0NDQwNzc6MTc2NzkwMDk3OTpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwNjk2Nzg3NTkxOTMyOjowOjo&url=%2FScrikss-Twist-2-0mm-Mechanical-Retractile%2Fdp%2FB094G3K3VD%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%253Aamzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%26cv_ct_cx%3Dmechanical%2Bpencil%26keywords%3Dmechanical%2Bpencil%26pd_rd_i%3DB094G3K3VD%26pd_rd_r%3D05d46a71-8df9-49a4-957a-73f813877a39%26pd_rd_w%3DNbPXg%26pd_rd_wg%3D58t3F%26pf_rd_p%3D0629fcb0-94ed-4eba-9abe-6c93c227c465%26pf_rd_r%3D14MXSMJHY0BCZMRQ0Y5S%26qid%3D1767900979%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DWOKsiNSue5%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=WOKsiNSue5&sp_cr=ZAZ,1
"Pentel Graph Gear 1000 Automatic Drafting Pencil - 0.9mm, Yellow Accents",₹975,https://amazon.in/sspa/click?ie=UTF8&spc=MTo5MDE0NjMxOTQ0NDQwNzc6MTc2NzkwMDk3OTpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwODc4MjMxMzA5NjMyOjoxOjo&url=%2FPentel-Graph-Automatic-Drafting-Pencil%2Fdp%2FB001E3QLN2%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%253Aamzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%26cv_ct_cx%3Dmechanical%2Bpencil%26keywords%3Dmechanical%2Bpencil%26pd_rd_i%3DB001E3QLN2%26pd_rd_r%3D05d46a71-8df9-49a4-957a-73f813877a39%26pd_rd_w%3DNbPXg%26pd_rd_wg%3D58t3F%26pf_rd_p%3D0629fcb0-94ed-4eba-9abe-6c93c227c465%26pf_rd_r%3D14MXSMJHY0BCZMRQ0Y5S%26qid%3D1767900979%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DJzgBcqPmET%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=JzgBcqPmET&sp_cr=ZAZ,1
"Cute Cartoon Mechanical Pencil Set with Refill Box – Kawaii Animal Design Auto Pencils with Extra Leads for Kids, Students & School Use | Smooth Writing Stationery Gift Set",₹239,https://amazon.in/sspa/click?ie=UTF8&spc=MTo5MDE0NjMxOTQ0NDQwNzc6MTc2NzkwMDk3OTpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwODY1MjQ3OTM2NDMyOjoyOjo&url=%2FCute-Cartoon-Mechanical-Pencil-Refill%2Fdp%2FB0G7XLGF43%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%253Aamzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%26cv_ct_cx%3Dmechanical%2Bpencil%26keywords%3Dmechanical%2Bpencil%26pd_rd_i%3DB0G7XLGF43%26pd_rd_r%3D05d46a71-8df9-49a4-957a-73f813877a39%26pd_rd_w%3DNbPXg%26pd_rd_wg%3D58t3F%26pf_rd_p%3D0629fcb0-94ed-4eba-9abe-6c93c227c465%26pf_rd_r%3D14MXSMJHY0BCZMRQ0Y5S%26qid%3D1767900979%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DbJtJ7soORt%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=bJtJ7soORt&sp_cr=ZAZ,1
"FunBlast Mechanical Pencils with Sharpener for Kid – Pre-Sharpened Pencils for Kid, Kawaii Pencil for Kids, Cute Pencils, Birthday Gift, Return Gift for Kids, Pencil for Drawing and Shading (6 Pcs)",₹180,https://amazon.in/sspa/click?ie=UTF8&spc=MTo5MDE0NjMxOTQ0NDQwNzc6MTc2NzkwMDk3OTpzcF9zZWFyY2hfdGhlbWF0aWM6MzAwODM4MzIzNTY2NTMyOjozOjo&url=%2FFunBlast-Mechanical-Pencil-Sharpener-Kids%2Fdp%2FB0BS6X1J4W%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%253Aamzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%26cv_ct_cx%3Dmechanical%2Bpencil%26keywords%3Dmechanical%2Bpencil%26pd_rd_i%3DB0BS6X1J4W%26pd_rd_r%3D05d46a71-8df9-49a4-957a-73f813877a39%26pd_rd_w%3DNbPXg%26pd_rd_wg%3D58t3F%26pf_rd_p%3D0629fcb0-94ed-4eba-9abe-6c93c227c465%26pf_rd_r%3D14MXSMJHY0BCZMRQ0Y5S%26qid%3D1767900979%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3DUXgqivE71T%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=UXgqivE71T&sp_cr=ZAZ,1
"uni-ball Kuru Toga M5-450T 0.5mm Mechanical Pencil | Body Color May Vary, Pack of 1",₹200,https://amazon.in/Uniball-M5-450T-Mechanical-Auto-Rotating-Replaceable/dp/B0BX941WY9/ref=sr_1_8?dib=eyJ2IjoiMSJ9.z_kzZ_3kxWayThIhWZCi_qu2jWpCcimcF_XSaYm3nSSMWzoyuVt1GIuWrBJEOfVJkjFx4eSTAcNHU5_wQC4PEDTkLIVpBNwpbqlyChBmTVmXm7EqcwCsneWbfZAeHR_r3aWO9epO6IyiYlWV2B1RcrHxfUsPwXWLKPtRbOo8c9QHT9rHgiv44CSEl-Oelfz-duDqVgv9n4l5egau-vvjQ5bj2aWBH7B3sdjITQ1sf-sOE3mPdY0BU6sC4IENQ2d8peeD8CpKAKZVc7nNp2A2yZ_mGRi1BkvEKIztJElhsdc.iCxGCD6phKtfVZtzPkSXjxgIW-XXfMKd4vHJcWaub7E&dib_tag=se&keywords=mechanical+pencil&qid=1767900979&sr=8-8,1
Pentel GraphGear 500 0.5 MM HB Mechanical Pencil | Lead Of Grade HB | Mini Interchangeable Eraser With Push Mechanism | Silver Plated Swing Grip | Pack Of 1 | Silver (PG515),₹503,https://amazon.in/Pentel-Mechanical-Pencil-Graphgear500-0-5mm/dp/B0017OR0ZG/ref=sr_1_9?dib=eyJ2IjoiMSJ9.z_kzZ_3kxWayThIhWZCi_qu2jWpCcimcF_XSaYm3nSSMWzoyuVt1GIuWrBJEOfVJkjFx4eSTAcNHU5_wQC4PEDTkLIVpBNwpbqlyChBmTVmXm7EqcwCsneWbfZAeHR_r3aWO9epO6IyiYlWV2B1RcrHxfUsPwXWLKPtRbOo8c9QHT9rHgiv44CSEl-Oelfz-duDqVgv9n4l5egau-vvjQ5bj2aWBH7B3sdjITQ1sf-sOE3mPdY0BU6sC4IENQ2d8peeD8CpKAKZVc7nNp2A2yZ_mGRi1BkvEKIztJElhsdc.iCxGCD6phKtfVZtzPkSXjxgIW-XXfMKd4vHJcWaub7E&dib_tag=se&keywords=mechanical+pencil&qid=1767900979&sr=8-9,1
Pentel GraphGear 1000 0.5 Mm Mechanical Drafting Pencil | Metal Clip With Retractable Mechanism | Dual Metal & Rubber Grip | Pack Of 1 | Silver & Black (PG1015),₹974,https://amazon.in/Pentel-GraphGear-Mechanical-Retractable-Mechanism/dp/B0060S30OY/ref=sr_1_10?dib=eyJ2IjoiMSJ9.z_kzZ_3kxWayThIhWZCi_qu2jWpCcimcF_XSaYm3nSSMWzoyuVt1GIuWrBJEOfVJkjFx4eSTAcNHU5_wQC4PEDTkLIVpBNwpbqlyChBmTVmXm7EqcwCsneWbfZAeHR_r3aWO9epO6IyiYlWV2B1RcrHxfUsPwXWLKPtRbOo8c9QHT9rHgiv44CSEl-Oelfz-duDqVgv9n4l5egau-vvjQ5bj2aWBH7B3sdjITQ1sf-sOE3mPdY0BU6sC4IENQ2d8peeD8CpKAKZVc7nNp2A2yZ_mGRi1BkvEKIztJElhsdc.iCxGCD6phKtfVZtzPkSXjxgIW-XXfMKd4vHJcWaub7E&dib_tag=se&keywords=mechanical+pencil&qid=1767900979&sr=8-10,1
